"rdr_svg_desc","Skalierbare Vektorgrafik (SVG).","SVG renderer description."
"rdr_svgp_desc","Version des SVG-Renderers, der portable SVGs erzeugt.","Portable SVG renderer description."
"rdr_json_desc","Plot Daten serialisiert im JSON-Format.","JSON renderer description."
"rdr_png_desc","Portable Network Graphics (PNG).","PNG renderer description."
"rdr_pdf_desc","Adobe Portable Document Format (PDF).","PDF renderer description."
"rdr_ps_desc","PostScript (PS).","PS renderer description."
"rdr_eps_desc","Encapsulated PostScript (EPS).","EPS renderer description."
"rdr_tikz_desc","LaTeX TikZ Code.","LaTeX/TikZ renderer description."
"rdr_strings_desc","Liste der Plot Zeichenenketten.","Strings renderer description."
"rdr_meta_desc","Plot Meta-Informationen.","Meta data renderer description."
