"rdr_svg_desc","Scalable Vector Graphics (SVG).","SVG renderer description."
"rdr_svgp_desc","Version of the SVG renderer that produces portable SVGs.","Portable SVG renderer description."
"rdr_json_desc","Plot data serialized to JSON format.","JSON renderer description."
"rdr_png_desc","Portable Network Graphics (PNG).","PNG renderer description."
"rdr_pdf_desc","Adobe Portable Document Format (PDF).","PDF renderer description."
"rdr_ps_desc","PostScript (PS).","PS renderer description."
"rdr_eps_desc","Encapsulated PostScript (EPS).","EPS renderer description."
"rdr_tikz_desc","LaTeX TikZ code.","LaTeX/TikZ renderer description."
"rdr_strings_desc","List of plot strings.","Strings renderer description."
"rdr_meta_desc","Plot meta information.","Meta data renderer description."
